"Age","Education","Marital_Status","Occupation","Sex","Hours_PW","Nationality","Income"
79,"11th,","Married-civ-spouse,","Exec-managerial,","Male,","7,","United-States,","<=50K"
44,"10th,","Divorced,","Adm-clerical,","Female,","42,","United-States,","<=50K"
51,"Masters,","Married-civ-spouse,","Prof-specialty,","Female,","50,","United-States,",">50K"
30,"HS-grad,","Married-civ-spouse,","Machine-op-inspct,","Male,","40,","United-States,","<=50K"
52,"Assoc-acdm,","Married-civ-spouse,","Sales,","Male,","48,","United-States,",">50K"
41,"Bachelors,","Married-civ-spouse,","Exec-managerial,","Male,","40,","?,",">50K"
33,"5th-6th,","Married-civ-spouse,","Farming-fishing,","Male,","40,","Philippines,","<=50K"
50,"Bachelors,","Divorced,","Exec-managerial,","Male,","45,","United-States,",">50K"
51,"Assoc-voc,","Married-civ-spouse,","Tech-support,","Male,","40,","United-States,",">50K"
41,"HS-grad,","Never-married,","Machine-op-inspct,","Male,","40,","United-States,","<=50K"
35,"Bachelors,","Married-civ-spouse,","Sales,","Female,","30,","United-States,",">50K"
34,"Some-college,","Married-civ-spouse,","Exec-managerial,","Male,","40,","United-States,",">50K"
28,"Bachelors,","Never-married,","Prof-specialty,","Male,","45,","United-States,","<=50K"
31,"Assoc-voc,","Divorced,","Sales,","Male,","40,","United-States,","<=50K"
22,"HS-grad,","Never-married,","Handlers-cleaners,","Male,","40,","United-States,","<=50K"
67,"HS-grad,","Widowed,","?,","Female,","15,","United-States,","<=50K"
65,"HS-grad,","Married-civ-spouse,","Sales,","Male,","40,","United-States,",">50K"
39,"HS-grad,","Married-civ-spouse,","Sales,","Male,","50,","United-States,",">50K"
23,"Some-college,","Never-married,","Tech-support,","Male,","40,","United-States,","<=50K"
29,"Assoc-acdm,","Married-civ-spouse,","Sales,","Male,","50,","United-States,","<=50K"
57,"10th,","Divorced,","Exec-managerial,","Male,","60,","United-States,",">50K"
47,"Some-college,","Widowed,","Other-service,","Female,","35,","United-States,","<=50K"
51,"HS-grad,","Married-civ-spouse,","Transport-moving,","Male,","60,","United-States,","<=50K"
34,"HS-grad,","Married-civ-spouse,","Handlers-cleaners,","Male,","40,","United-States,","<=50K"
52,"HS-grad,","Married-civ-spouse,","Exec-managerial,","Male,","60,","United-States,",">50K"
29,"HS-grad,","Married-civ-spouse,","Prof-specialty,","Male,","40,","United-States,",">50K"
29,"HS-grad,","Married-civ-spouse,","Craft-repair,","Male,","40,","United-States,","<=50K"
25,"Some-college,","Married-civ-spouse,","Farming-fishing,","Male,","40,","United-States,","<=50K"
21,"Some-college,","Never-married,","Other-service,","Female,","40,","United-States,","<=50K"
38,"Bachelors,","Married-spouse-absent,","Prof-specialty,","Female,","40,","United-States,","<=50K"
55,"HS-grad,","Married-civ-spouse,","Sales,","Male,","50,","United-States,",">50K"
61,"Bachelors,","Separated,","Sales,","Female,","30,","United-States,","<=50K"
34,"Assoc-acdm,","Never-married,","Adm-clerical,","Female,","60,","United-States,",">50K"
41,"Bachelors,","Married-civ-spouse,","Adm-clerical,","Male,","40,","United-States,","<=50K"
27,"Assoc-voc,","Never-married,","Adm-clerical,","Male,","43,","United-States,","<=50K"
78,"Bachelors,","Never-married,","Exec-managerial,","Male,","20,","United-States,",">50K"
40,"HS-grad,","Married-civ-spouse,","Transport-moving,","Male,","40,","United-States,",">50K"
26,"7th-8th,","Married-civ-spouse,","Transport-moving,","Male,","75,","United-States,","<=50K"
43,"HS-grad,","Married-civ-spouse,","Other-service,","Male,","60,","Japan,","<=50K"
55,"HS-grad,","Widowed,","?,","Female,","20,","United-States,","<=50K"
25,"Assoc-voc,","Married-civ-spouse,","Tech-support,","Male,","40,","Mexico,","<=50K"
26,"Some-college,","Never-married,","Other-service,","Female,","48,","United-States,","<=50K"
43,"HS-grad,","Married-civ-spouse,","Sales,","Male,","68,","United-States,",">50K"
25,"Some-college,","Never-married,","Other-service,","Male,","40,","Poland,","<=50K"
